Paper ID	PaperTitle	AuthorNames
192	Towards Scalable and Robust Structured Bandits: A Meta-Learning Framework	"Wan, Runzhe*; Ge, Lin; Song, Rui"
194	Compress Then Test: Powerful Kernel Testing in Near-linear Time	"Domingo-Enrich, Carles*; Dwivedi, Raaz; Mackey, Lester"
202	 Select and Optimize Learning to Solve Large-Scale Traveling Salesman Problem	"Cheng, Hanni; Zheng, Haosi; Cong, Ya*; Jiang, Weihao; Pu, Shiliang"
203	Fixing by Mixing: A Recipe for Optimal Byzantine ML under Heterogeneity	"Allouah, Youssef*; Farhadkhani, Sadegh; Guerraoui, Rachid; Gupta, Nirupam; Pinot, Rafael; Stephan, John"
204	Testing of Horn Samplers	"BANERJEE, ANSUMAN; Chakraborty, Shayak; Chakraborty, Sourav; Meel, Kuldeep S; Sarkar, Uddalok*; Sen, Sayantan"
205	Coordinate Ascent for Off-Policy RL with Global Convergence Guarantees	"Su, Hsin-En; Chen, Yen-Ju; Hsieh, Ping-Chun*; Liu, Xi"
207	Positional Encoder Graph Neural Networks for Geographic Data	"Klemmer, Konstantin*; Safir, Nathan S; Neill, Daniel B"
208	Coarse-Grained Smoothness for Reinforcement Learning in Metric Spaces	"Gottesman, Omer*; Asadi, Kavosh; Allen, Cameron S; Lobel, Samuel; Konidaris, George; Littman, Michael L."
211	BaCaDI: Bayesian Causal Discovery with Unknown Interventions	"Hägele, Alexander*; Rothfuss, Jonas; Lorch, Lars; Somnath, Vignesh Ram; Schölkopf, Bernhard; Krause, Andreas"
212	Statistical Analysis of Karcher Means for Random Restricted PSD Matrices	"Chen, Hengchao; Li, Xiang; Sun, Qiang*"
214	Differentially Private Synthetic Control	"Rho, Saeyoung*; Cummings, Rachel; Misra, Vishal"
217	Scalable Bayesian Optimization Using Vecchia Approximations of Gaussian Processes	"Jimenez, Felix*; Katzfuss, Matthias"
218	A Randomly Pruned Neural Network can be Equivalent to the Unpruned Network under the NTK Regime	"Yang, Hongru*; Wang, Zhangyang"
220	Riemannian accelerated gradient methods via extrapolation	"Han, Andi*; Mishra, Bamdev; Jawanpuria, Pratik; Gao, Junbin"
222	Flexible risk design using bi-directional dispersion	"Holland, Matthew J*"
223	Contextual Linear Bandits under Noisy Features: Towards Bayesian Oracles	"Kim, Jung-hun*; Yun, Se-Young; Jeong, Minchan; Nam, Junhyun; Shin, Jinwoo; Combes, Richard"
231	Deep equilibrium models as estimators for continuous latent variables	"Tsuchida, Russell*; Ong, Cheng Soon"
234	Refined Convergence and Topology Learning for Decentralized SGD with Heterogeneous Data	"Le Bars, Batiste*; Bellet, Aurélien; Tommasi, Marc; Lavoie, Erick; Kermarrec, Anne-Marie"
240	A Novel Stochastic Gradient Descent Algorithm for Learning Principal Subspaces	"Le Lan, Charline*; Greaves, Joshua; Farebrother, Jesse; Rowland, Mark; Pedregosa, Fabian; Agarwal, Rishabh; G. Bellemare, Marc"
243	A Constant-Factor Approximation Algorithm for Reconciliation $k$-Median	"Gionis, Aristides; Khodamoradi, Kamyar; Ordozgoiti, Bruno*; Riegel, Benedikt; Spoerhase, Joachim"
248	Neural Laplace Control for Continuous-time Delayed Systems	"Holt, Samuel I*; Hüyük, Alihan; Qian, Zhaozhi; Sun, Hao; van der Schaar, Mihaela"
250	Discovering Many Diverse Solutions with Bayesian Optimization	"Maus, Natalie*; Wu, Kaiwen; Eriksson, David; Gardner, Jacob"
253	BlitzMask: Real-Time Instance Segmentation Approach for Mobile Devices	"Bulygin, Vitalii*; Mykheievskyi, Dmytro; Kuchynskyi, Kyrylo"
254	Exact Gradient Computation for Spiking Neural Networks via Forward Propagation	"Lee, Jane H*; Haghighatshoar, Saeid; Karbasi, Amin"
263	Uni6Dv2: Noise Elimination for 6D Pose Estimation	"Sun, Mingshan*; Zheng, Ye; Bao, Tianpeng; Chen, Jianqiu; Jin, Guoqiang; Wu, Liwei; Zhao, Rui; Jiang, Xiaoke"
267	Multilevel Bayesian Quadrature	"Li, Kaiyu*; Giles, Daniel; Karvonen, Toni; Guillas, Serge; Briol, Francois-Xavier"
271	Direct Inference of Effect of Treatment (DIET) for a Cookieless World	"Shankar, Shiv*; Sinha, Ritwik; Mitra, Saayan; Sinha, Moumita; Fiterau, Madalina"
273	The Ordered Matrix Dirichlet for Modeling Ordinal Dynamics	"Stoehr, Niklas*; Radford, Benjamin J; Cotterell, Ryan; Schein, Aaron J"
275	Energy-Based Processes for Functional Data	"Lim, Jen Ning*; Vollmer, Sebastian; Wolf, Lorenz L; Duncan, Andrew"
276	Frequentist Uncertainty Quantification in Semi-Structured Neural Networks	"Dorigatti, Emilio*; Schubert, Benjamin; Bischl, Bernd; Ruegamer, David"
277	NTS-NOTEARS: Learning Nonparametric DBNs With Prior Knowledge	"Sun, Xiangyu*; Schulte, Oliver; Liu, Guiliang; Poupart, Pascal"
279	One Policy is Enough: Parallel Exploration with a Single Policy is Near-Optimal for Reward-Free Reinforcement Learning	"Cisneros-Velarde, Pedro*; Lyu, Boxiang; Koyejo, Sanmi; Kolar, Mladen"
292	Variational Inference for Neyman-Scott Processes	"Hong, Chengkuan*; Shelton, Christian"
293	Graph Alignment Kernels using Weisfeiler and Leman Hierarchies	"Nikolentzos, Giannis*; Vazirgiannis, Michalis"
294	Geometric Random Walk Graph Neural Networks via Implicit Layers	"Nikolentzos, Giannis*; Vazirgiannis, Michalis"
296	Model-Free Sequential Testing for Conditional Independence via Testing by Betting	"Shaer, Shalev*; Maman, Gal; Romano, Yaniv"
